09 000 09 000 CT CT Non-Migrants                    1360079    2803701   108996493
09 000 36 000 NY NEW YORK                              7270      11191      515076
09 000 25 000 MA MASSACHUSETTS                         4893       7224      284060
09 000 12 000 FL FLORIDA                               4661       8185      349902
09 000 06 000 CA CALIFORNIA                            2277       3662      179081
09 000 37 000 NC NORTH CAROLINA                        1815       3512      117768
09 000 34 000 NJ NEW JERSEY                            1731       3145      154208
09 000 42 000 PA PENNSYLVANIA                          1380       2494       98841
09 000 57 000 FR Foreign                               1375       2586      114700
09 000 51 000 VA VIRGINIA                              1367       2433       83044
09 000 48 000 TX TEXAS                                 1354       2702      121755
09 000 44 000 RI RHODE ISLAND                          1198       1847       61896
09 000 13 000 GA GEORGIA                               1119       2219       62491
09 000 45 000 SC SOUTH CAROLINA                         862       1584       53804
09 000 24 000 MD MARYLAND                               771       1338       47811
09 000 17 000 IL ILLINOIS                               682       1231       65905
09 000 33 000 NH NEW HAMPSHIRE                          679       1111       49200
09 000 23 000 ME MAINE                                  633       1072       34260
09 000 04 000 AZ ARIZONA                                583       1022       39829
09 000 53 000 WA WASHINGTON                             551        998       50655
09 000 08 000 CO COLORADO                               535        781       32840
09 000 39 000 OH OHIO                                   494        950       41619
09 000 50 000 VT VERMONT                                471        705       25497
09 000 47 000 TN TENNESSEE                              394        776       23690
09 000 11 000 DC DISTRICT OF COLUMBIA                   341        379       15664
09 000 26 000 MI MICHIGAN                               330        605       24179
09 000 19 000 IA IOWA                                   293        476       12973
09 000 18 000 IN INDIANA                                251        480       16377
09 000 55 000 WI WISCONSIN                              237        430       17787
09 000 32 000 NV NEVADA                                 223        332       11926
09 000 27 000 MN MINNESOTA                              221        434       18503
09 000 29 000 MO MISSOURI                               215        389       17087
09 000 15 000 HI HAWAII                                 205        360        9641
09 000 01 000 AL ALABAMA                                201        368       10058
09 000 41 000 OR OREGON                                 189        313        9448
09 000 22 000 LA LOUISIANA                              169        278        8134
09 000 21 000 KY KENTUCKY                               158        297       11563
09 000 49 000 UT UTAH                                   157        306       17563
09 000 10 000 DE DELAWARE                               139        253        8999
09 000 40 000 OK OKLAHOMA                               118        244        5518
09 000 35 000 NM NEW MEXICO                             116        181        7863
09 000 20 000 KS KANSAS                                 106        226        9701
09 000 05 000 AR ARKANSAS                                94        185        6837
09 000 54 000 WV WEST VIRGINIA                           89        147        4618
09 000 31 000 NE NEBRASKA                                72        152        3897
09 000 28 000 MS MISSISSIPPI                             69        109        2476
09 000 02 000 AK ALASKA                                  54         95        1868
09 000 30 000 MT MONTANA                                 46         70        2551
09 000 56 000 WY WYOMING                                 45         75        3024
09 000 16 000 ID IDAHO                                   41         84        2689
09 000 46 000 SD SOUTH DAKOTA                            31         58        1180
09 000 38 000 ND NORTH DAKOTA                            17         27         603
10 000 96 000 DE DE Total Mig - US & For              12939      23429      626436
10 000 97 000 DE DE Total Mig - US                    12659      22874      614073
10 000 98 000 DE DE Total Mig - Foreign                 280        555       12364
10 000 10 000 DE DE Non-Migrants                     333759     695915    20437767
10 000 42 000 PA PENNSYLVANIA                          2966       5318      153119
10 000 24 000 MD MARYLAND                              2131       3823       87385
10 000 34 000 NJ NEW JERSEY                            1015       1773       51944
10 000 12 000 FL FLORIDA                                850       1543       40446
10 000 51 000 VA VIRGINIA                               708       1275       33934
10 000 36 000 NY NEW YORK                               642       1057       27355
10 000 37 000 NC NORTH CAROLINA                         516        953       23021
10 000 06 000 CA CALIFORNIA                             417        670       22518
10 000 48 000 TX TEXAS                                  388        790       21846
10 000 13 000 GA GEORGIA                                355        685       15427
10 000 57 000 FR Foreign                                280        555       12364
10 000 39 000 OH OHIO                                   202        379       11314
10 000 45 000 SC SOUTH CAROLINA                         195        400        8781
10 000 25 000 MA MASSACHUSETTS                          168        261        8723
